% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
2.592	1	4	260	3	13	28	4587
2.592	1	11	260	3	12	28	4587
2.593	1	5	260	4	4	28	9422
2.594	1	15	260	5	5	28	4587
2.594	1	12	260	5	14	28	4587
2.595	1	2	260	6	7	28	9422
2.596	1	14	260	7	15	28	9422
2.598	1	1	260	9	10	28	4587
2.598	1	8	260	9	11	28	4587
2.599	1	7	260	10	1	28	4587
2.599	1	9	260	10	6	28	4587
2.604	1	3	261	5	2	28	9422
2.605	1	10	261	6	8	28	9422
2.606	1	4	261	7	13	28	9422
2.607	1	5	261	8	4	28	4587
2.608	1	12	261	9	14	28	3062
2.608	1	5	261	9	4	28	3062
2.609	1	12	261	10	14	28	3062
2.609	1	2	261	10	7	28	3062
2.61	1	15	262	1	5	28	3062
2.61	1	2	262	1	7	28	3062
2.611	1	14	262	2	15	28	3062
2.611	1	15	262	2	5	28	3062
2.612	1	14	262	3	15	28	3062
2.612	1	1	262	3	10	28	3062
2.612	1	11	262	3	12	28	3062
2.613	1	1	262	4	10	28	4587
2.613	1	8	262	4	11	28	4587
2.614	1	7	262	5	1	28	4587
2.614	1	8	262	5	11	28	4587
2.615	1	7	262	6	1	28	4587
2.615	1	9	262	6	6	28	4587
2.616	1	9	262	7	6	28	9422
2.748	1	6	275	9	9	28	9422
2.749	1	13	275	10	3	28	9422
2.804	1	3	281	5	2	28	9422
2.805	1	10	281	6	8	28	4587
2.805	1	11	281	6	12	28	4587
2.806	1	4	281	7	13	28	4587
2.806	1	11	281	7	12	28	4587
2.807	1	4	281	8	13	28	4587
2.807	1	11	281	8	12	28	4587
2.808	1	5	281	9	4	28	9422
2.809	1	15	281	10	5	28	4587
2.809	1	12	281	10	14	28	4587
2.81	1	15	282	1	5	28	4587
2.81	1	2	282	1	7	28	4587
2.811	1	14	282	2	15	28	9422
2.812	1	1	282	3	10	28	9422
2.813	1	8	282	4	11	28	4587
2.813	1	7	282	4	1	28	4587
2.814	1	9	282	5	6	28	4587
2.814	1	7	282	5	1	28	4587
2.818	1	3	282	9	2	28	9422
2.819	1	10	282	10	8	28	4587
2.819	1	3	282	10	2	28	4587
2.82	1	10	283	1	8	28	4587
2.82	1	4	283	1	13	28	4587
2.821	1	4	283	2	13	28	9422
2.822	1	5	283	3	4	28	9422
2.823	1	12	283	4	14	28	4587
2.823	1	5	283	4	4	28	4587
2.824	1	2	283	5	7	28	4587
2.824	1	12	283	5	14	28	4587
2.825	1	2	283	6	7	28	9422
2.827	1	14	283	8	15	28	4587
2.827	1	15	283	8	5	28	4587
2.828	1	1	283	9	10	28	4587
2.828	1	14	283	9	15	28	4587
2.829	1	1	283	10	10	28	4587
2.83	1	8	284	1	11	28	4587
2.831	1	7	284	2	1	28	3062
2.831	1	8	284	2	11	28	3062
2.832	1	7	284	3	1	28	3062
2.832	1	9	284	3	6	28	3062
2.833	1	9	284	4	6	28	4587
2.852	1	11	286	3	12	28	9422
2.948	1	6	295	9	9	28	9422
2.949	1	13	295	10	3	28	9422
2.962	1	6	297	3	9	28	9422
2.963	1	13	297	4	3	28	9422
3.018	1	3	302	9	2	28	9422
3.019	1	10	302	10	8	28	9422
3.02	1	11	303	1	12	28	9422
3.021	1	11	303	2	12	28	9422
3.022	1	4	303	3	13	28	4587
3.022	1	11	303	3	12	28	4587
3.023	1	4	303	4	13	28	4587
3.023	1	5	303	4	4	28	4587
3.024	1	12	303	5	14	28	4587
3.024	1	5	303	5	4	28	4587
3.025	1	15	303	6	5	28	4587
3.025	1	12	303	6	14	28	4587
3.026	1	15	303	7	5	28	9422
3.027	1	2	303	8	7	28	9422
3.028	1	14	303	9	15	28	9422
3.029	1	1	303	10	10	28	9422
3.03	1	7	304	1	1	28	9422
3.031	1	8	304	2	11	28	9422
3.032	1	9	304	3	6	28	9422
3.033	1	3	304	4	2	28	9422
3.034	1	3	304	5	2	28	9422
3.035	1	10	304	6	8	28	9422
3.036	1	10	304	7	8	28	4587
3.042	1	12	305	3	14	28	2292
3.042	1	2	305	3	7	28	2292
3.043	1	2	305	4	7	28	3062
3.044	1	14	305	5	15	28	3062
3.044	1	5	305	5	4	28	3062
3.045	1	14	305	6	15	28	4587
3.046	1	15	305	7	5	28	4587
3.046	1	4	305	7	13	28	4587
3.047	1	15	305	8	5	28	4587
3.047	1	1	305	8	10	28	4587
3.048	1	1	305	9	10	28	9422
3.049	1	8	305	10	11	28	4587
3.049	1	1	305	10	10	28	4587
3.05	1	8	306	1	11	28	9422
3.051	1	7	306	2	1	28	4587
3.051	1	8	306	2	11	28	4587
3.052	1	7	306	3	1	28	9422
3.053	1	9	306	4	6	28	9422
3.054	1	9	306	5	6	28	9422
3.066	1	11	307	7	12	28	9422
3.162	1	6	317	3	9	28	9422
3.163	1	13	317	4	3	28	9422
3.176	1	6	318	7	9	28	9422
3.177	1	13	318	8	3	28	9422
3.232	1	3	324	3	2	28	9422
3.233	1	10	324	4	8	28	4587
3.233	1	3	324	4	2	28	4587
3.234	1	10	324	5	8	28	9422
3.235	1	11	324	6	12	28	9422
3.236	1	11	324	7	12	28	9422
3.237	1	11	324	8	12	28	9422
3.238	1	4	324	9	13	28	4587
3.238	1	11	324	9	12	28	4587
3.239	1	4	324	10	13	28	9422
3.24	1	5	325	1	4	28	9422
3.241	1	12	325	2	14	28	4587
3.241	1	5	325	2	4	28	4587
3.242	1	12	325	3	14	28	9422
3.243	1	15	325	4	5	28	4587
3.243	1	2	325	4	7	28	4587
3.244	1	15	325	5	5	28	4587
3.244	1	2	325	5	7	28	4587
3.245	1	2	325	6	7	28	9422
3.246	1	14	325	7	15	28	9422
3.247	1	1	325	8	10	28	4587
3.247	1	14	325	8	15	28	4587
3.248	1	1	325	9	10	28	9422
3.249	1	7	325	10	1	28	4587
3.249	1	1	325	10	10	28	4587
3.25	1	7	326	1	1	28	9422
3.251	1	8	326	2	11	28	9422
3.252	1	9	326	3	6	28	4587
3.252	1	8	326	3	11	28	4587
3.253	1	3	326	4	2	28	4587
3.253	1	9	326	4	6	28	4587
3.254	1	3	326	5	2	28	9422
3.255	1	3	326	6	2	28	9422
3.256	1	10	326	7	8	28	4587
3.256	1	3	326	7	2	28	4587
3.257	1	10	326	8	8	28	9422
3.258	1	10	326	9	8	28	9422
3.259	1	2	326	10	7	28	9422
3.26	1	2	327	1	7	28	9422
3.261	1	12	327	2	14	28	4587
3.261	1	2	327	2	7	28	4587
3.262	1	12	327	3	14	28	9422
3.263	1	12	327	4	14	28	9422
3.264	1	5	327	5	4	28	4587
3.264	1	12	327	5	14	28	4587
3.266	1	14	327	7	15	28	4587
3.267	1	14	327	8	15	28	4587
3.268	1	14	327	9	15	28	4587
3.269	1	14	327	10	15	28	3062
3.269	1	4	327	10	13	28	3062
3.27	1	5	328	1	4	28	4587
3.27	1	4	328	1	13	28	4587
3.271	1	4	328	2	13	28	9422
3.272	1	15	328	3	5	28	9422
3.273	1	15	328	4	5	28	9422
3.274	1	1	328	5	10	28	4587
3.274	1	15	328	5	5	28	4587
3.277	1	1	328	8	10	28	4587
3.28	1	8	329	1	11	28	4587
3.28	1	7	329	1	1	28	4587
3.281	1	7	329	2	1	28	9422
3.282	1	9	329	3	6	28	4587
3.282	1	7	329	3	1	28	4587
3.285	1	9	329	6	6	28	4587
3.285	1	11	329	6	12	28	4587
3.286	1	11	329	7	12	28	9422
3.376	1	6	338	7	9	28	9422
3.377	1	13	338	8	3	28	9422
3.39	1	6	340	1	9	28	9422
3.391	1	13	340	2	3	28	9422
3.446	1	3	345	7	2	28	9422
3.447	1	3	345	8	2	28	9422
3.448	1	10	345	9	8	28	9422
3.449	1	10	345	10	8	28	9422
3.45	1	11	346	1	12	28	4587
3.45	1	10	346	1	8	28	4587
3.451	1	11	346	2	12	28	9422
3.452	1	11	346	3	12	28	9422
3.453	1	11	346	4	12	28	9422
3.454	1	11	346	5	12	28	9422
3.455	1	4	346	6	13	28	4587
3.455	1	11	346	6	12	28	4587
3.456	1	4	346	7	13	28	9422
3.457	1	5	346	8	4	28	4587
3.457	1	4	346	8	13	28	4587
3.458	1	5	346	9	4	28	9422
3.459	1	5	346	10	4	28	9422
3.46	1	12	347	1	14	28	9422
3.461	1	12	347	2	14	28	9422
3.462	1	2	347	3	7	28	9422
3.463	1	2	347	4	7	28	9422
3.464	1	15	347	5	5	28	4587
3.464	1	2	347	5	7	28	4587
3.465	1	15	347	6	5	28	9422
3.466	1	14	347	7	15	28	4587
3.466	1	15	347	7	5	28	4587
3.467	1	14	347	8	15	28	9422
3.468	1	1	347	9	10	28	4587
3.468	1	14	347	9	15	28	4587
3.469	1	1	347	10	10	28	9422
3.47	1	7	348	1	1	28	4587
3.47	1	1	348	1	10	28	4587
3.471	1	7	348	2	1	28	9422
3.472	1	8	348	3	11	28	4587
3.472	1	7	348	3	1	28	4587
3.473	1	8	348	4	11	28	9422
3.474	1	9	348	5	6	28	4587
3.474	1	8	348	5	11	28	4587
3.475	1	9	348	6	6	28	9422
3.476	1	3	348	7	2	28	4587
3.476	1	9	348	7	6	28	4587
3.477	1	3	348	8	2	28	9422
3.478	1	3	348	9	2	28	9422
3.479	1	3	348	10	2	28	9422
3.48	1	10	349	1	8	28	4587
3.48	1	3	349	1	2	28	4587
3.484	1	2	349	5	7	28	4587
3.485	1	2	349	6	7	28	4587
3.486	1	2	349	7	7	28	4587
3.487	1	2	349	8	7	28	4587
3.488	1	2	349	9	7	28	4587
3.488	1	10	349	9	8	28	4587
3.489	1	12	349	10	14	28	9422
3.49	1	12	350	1	14	28	9422
3.491	1	12	350	2	14	28	9422
3.492	1	12	350	3	14	28	9422
3.493	1	5	350	4	4	28	9422
3.494	1	5	350	5	4	28	9422
3.495	1	5	350	6	4	28	9422
3.496	1	14	350	7	15	28	4587
3.496	1	5	350	7	4	28	4587
3.497	1	14	350	8	15	28	9422
3.498	1	14	350	9	15	28	9422
3.499	1	14	350	10	15	28	9422
3.5	1	4	351	1	13	28	4587
3.5	1	14	351	1	15	28	4587
3.501	1	4	351	2	13	28	9422
3.502	1	4	351	3	13	28	9422
3.503	1	4	351	4	13	28	9422
3.504	1	15	351	5	5	28	4587
3.504	1	4	351	5	13	28	4587
3.505	1	15	351	6	5	28	9422
3.506	1	15	351	7	5	28	9422
3.507	1	15	351	8	5	28	9422
3.508	1	1	351	9	10	28	4587
3.508	1	15	351	9	5	28	4587
3.509	1	1	351	10	10	28	9422
3.51	1	1	352	1	10	28	9422
3.511	1	1	352	2	10	28	9422
3.512	1	7	352	3	1	28	4587
3.512	1	1	352	3	10	28	4587
3.513	1	7	352	4	1	28	9422
3.514	1	7	352	5	1	28	9422
3.515	1	7	352	6	1	28	9422
3.516	1	8	352	7	11	28	4587
3.516	1	7	352	7	1	28	4587
3.517	1	8	352	8	11	28	9422
3.518	1	8	352	9	11	28	9422
3.519	1	8	352	10	11	28	9422
3.52	1	9	353	1	6	28	4587
3.52	1	8	353	1	11	28	4587
3.521	1	9	353	2	6	28	9422
3.522	1	9	353	3	6	28	9422
3.523	1	9	353	4	6	28	9422
3.524	1	11	353	5	12	28	4587
3.524	1	9	353	5	6	28	4587
3.525	1	11	353	6	12	28	9422
3.59	1	6	360	1	9	28	9422
3.591	1	13	360	2	3	28	9422
3.604	1	6	361	5	9	28	9422
3.605	1	13	361	6	3	28	9422
3.66	1	3	367	1	2	28	9422
3.661	1	3	367	2	2	28	9422
3.662	1	3	367	3	2	28	9422
3.663	1	10	367	4	8	28	9422
3.664	1	10	367	5	8	28	9422
3.665	1	11	367	6	12	28	4587
3.665	1	10	367	6	8	28	4587
3.666	1	11	367	7	12	28	9422
3.667	1	11	367	8	12	28	9422
3.668	1	11	367	9	12	28	9422
3.669	1	11	367	10	12	28	9422
3.67	1	11	368	1	12	28	9422
3.671	1	11	368	2	12	28	9422
3.672	1	11	368	3	12	28	9422
3.673	1	4	368	4	13	28	4587
3.673	1	11	368	4	12	28	4587
3.674	1	4	368	5	13	28	9422
3.675	1	4	368	6	13	28	9422
