% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	Nprb
1.763	1	3	177	4	1	1	453	0	0	98
1.764	1	3	177	5	1	1	453	0	0	98
1.765	1	3	177	6	1	1	453	0	0	98
1.766	1	3	177	7	1	1	453	0	0	98
1.767	1	3	177	8	1	5	1095	0	0	98
1.768	1	3	177	9	1	5	1095	0	0	98
1.769	1	3	177	10	1	5	1095	0	0	98
1.818	1	2	182	9	3	25	7167	0	0	98
1.819	1	2	182	10	3	25	7167	0	0	98
1.82	1	2	183	1	3	25	7167	0	0	98
1.821	1	1	183	2	2	15	1692	0	0	47
1.821	1	2	183	2	3	20	2385	0	0	48
1.822	1	1	183	3	2	15	1692	0	0	47
1.822	1	2	183	3	3	20	2385	0	0	48
1.823	1	1	183	4	2	15	3542	0	0	97
1.824	1	1	183	5	2	15	3542	0	0	97
1.825	1	1	183	6	2	15	3542	0	0	97
1.826	1	1	183	7	2	10	1980	0	0	99
1.827	1	1	183	8	2	10	1980	0	0	99
1.828	1	1	183	9	2	10	1980	0	0	99
1.829	1	1	183	10	2	10	1980	0	0	99
1.83	1	1	184	1	2	10	1980	0	0	99
1.831	1	1	184	2	2	10	1980	0	0	99
1.832	1	1	184	3	2	10	1980	0	0	99
1.843	1	3	185	4	1	1	453	0	0	98
1.844	1	3	185	5	1	1	453	0	0	98
1.845	1	3	185	6	1	1	453	0	0	98
1.846	1	3	185	7	1	1	453	0	0	98
1.847	1	3	185	8	1	1	453	0	0	98
1.848	1	3	185	9	1	5	1095	0	0	98
1.849	1	3	185	10	1	1	453	0	0	98
1.85	1	3	186	1	1	1	453	0	0	98
1.851	1	3	186	2	1	1	453	0	0	98
1.852	1	3	186	3	1	1	453	0	0	98
1.853	1	3	186	4	1	1	453	0	0	98
1.854	1	3	186	5	1	1	453	0	0	98
1.855	1	3	186	6	1	1	453	0	0	98
1.856	1	3	186	7	1	1	453	0	0	98
1.857	1	3	186	8	1	1	453	0	0	98
1.858	1	3	186	9	1	1	453	0	0	98
1.859	1	3	186	10	1	5	1095	0	0	98
1.86	1	3	187	1	1	5	1095	0	0	98
1.861	1	3	187	2	1	5	1095	0	0	98
1.862	1	3	187	3	1	5	1095	0	0	98
1.863	1	3	187	4	1	5	1095	0	0	98
1.864	1	3	187	5	1	1	453	0	0	98
1.865	1	3	187	6	1	1	453	0	0	98
1.866	1	3	187	7	1	1	453	0	0	98
1.867	1	3	187	8	1	1	453	0	0	98
1.868	1	3	187	9	1	1	453	0	0	98
1.869	1	3	187	10	1	5	1095	0	0	98
1.87	1	3	188	1	1	5	1095	0	0	98
1.871	1	3	188	2	1	5	1095	0	0	98
1.872	1	3	188	3	1	5	1095	0	0	98
1.873	1	3	188	4	1	5	1095	0	0	98
1.874	1	3	188	5	1	1	453	0	0	98
1.875	1	3	188	6	1	1	453	0	0	98
1.876	1	3	188	7	1	1	453	0	0	98
1.877	1	3	188	8	1	1	453	0	0	98
1.878	1	3	188	9	1	1	453	0	0	98
1.879	1	3	188	10	1	5	1095	0	0	98
1.88	1	3	189	1	1	5	1095	0	0	98
1.881	1	3	189	2	1	5	1095	0	0	98
1.915	1	2	192	6	3	25	7167	0	0	98
1.916	1	2	192	7	3	25	7167	0	0	98
1.917	1	2	192	8	3	25	7167	0	0	98
1.918	1	1	192	9	2	15	1692	0	0	47
1.918	1	2	192	9	3	25	3422	0	0	47
1.919	1	1	192	10	2	15	1692	0	0	47
1.919	1	2	192	10	3	20	2385	0	0	48
1.92	1	2	193	1	3	20	2385	0	0	48
1.92	1	1	193	1	2	15	1692	0	0	47
1.921	1	1	193	2	2	15	1692	0	0	47
1.921	1	2	193	2	3	20	2385	0	0	48
1.922	1	1	193	3	2	15	1692	0	0	47
1.922	1	2	193	3	3	20	2385	0	0	48
1.923	1	2	193	4	3	20	2385	0	0	48
1.923	1	1	193	4	2	15	1692	0	0	47
1.924	1	1	193	5	2	15	1692	0	0	47
1.924	1	2	193	5	3	20	2385	0	0	48
1.925	1	1	193	6	2	10	935	0	0	47
1.925	1	2	193	6	3	20	2385	0	0	48
1.926	1	1	193	7	2	10	1980	0	0	99
1.927	1	1	193	8	2	10	1980	0	0	99
1.928	1	1	193	9	2	10	1980	0	0	99
1.929	1	1	193	10	2	10	1980	0	0	99
1.93	1	1	194	1	2	15	3542	0	0	97
1.931	1	1	194	2	2	15	3542	0	0	97
1.932	1	1	194	3	2	15	3542	0	0	97
1.933	1	1	194	4	2	15	3542	0	0	97
1.934	1	1	194	5	2	15	3542	0	0	97
1.935	1	1	194	6	2	10	1980	0	0	99
1.943	1	3	195	4	1	1	453	0	0	98
1.944	1	3	195	5	1	1	453	0	0	98
1.945	1	3	195	6	1	1	453	0	0	98
1.946	1	3	195	7	1	1	453	0	0	98
1.947	1	3	195	8	1	1	453	0	0	98
1.948	1	3	195	9	1	1	453	0	0	98
1.949	1	3	195	10	1	1	453	0	0	98
1.95	1	3	196	1	1	1	453	0	0	98
1.951	1	3	196	2	1	5	1095	0	0	98
1.952	1	3	196	3	1	5	1095	0	0	98
1.953	1	3	196	4	1	5	1095	0	0	98
1.954	1	3	196	5	1	5	1095	0	0	98
1.955	1	3	196	6	1	5	1095	0	0	98
1.956	1	3	196	7	1	1	453	0	0	98
1.957	1	3	196	8	1	1	453	0	0	98
1.958	1	3	196	9	1	1	453	0	0	98
1.959	1	3	196	10	1	1	453	0	0	98
1.96	1	3	197	1	1	1	453	0	0	98
1.961	1	3	197	2	1	5	1095	0	0	98
1.962	1	3	197	3	1	5	1095	0	0	98
1.963	1	3	197	4	1	5	1095	0	0	98
1.964	1	3	197	5	1	5	1095	0	0	98
1.965	1	3	197	6	1	5	1095	0	0	98
1.966	1	3	197	7	1	1	453	0	0	98
1.967	1	3	197	8	1	1	453	0	0	98
1.968	1	3	197	9	1	1	453	0	0	98
1.969	1	3	197	10	1	1	453	0	0	98
1.97	1	3	198	1	1	1	453	0	0	98
1.971	1	3	198	2	1	5	1095	0	0	98
1.972	1	3	198	3	1	5	1095	0	0	98
1.973	1	3	198	4	1	5	1095	0	0	98
1.974	1	3	198	5	1	5	1095	0	0	98
1.975	1	3	198	6	1	5	1095	0	0	98
1.976	1	3	198	7	1	5	1095	0	0	98
1.977	1	3	198	8	1	5	1095	0	0	98
1.978	1	3	198	9	1	5	1095	0	0	98
1.979	1	3	198	10	1	5	1095	0	0	98
1.98	1	3	199	1	1	5	1095	0	0	98
1.981	1	3	199	2	1	1	453	0	0	98
1.982	1	3	199	3	1	1	453	0	0	98
1.983	1	3	199	4	1	1	453	0	0	98
1.984	1	3	199	5	1	1	453	0	0	98
1.985	1	3	199	6	1	1	453	0	0	98
1.986	1	3	199	7	1	5	1095	0	0	98
1.987	1	3	199	8	1	1	453	0	0	98
1.988	1	3	199	9	1	1	453	0	0	98
1.989	1	3	199	10	1	1	453	0	0	98
1.99	1	3	200	1	1	1	453	0	0	98
1.991	1	3	200	2	1	1	453	0	0	98
1.992	1	3	200	3	1	1	453	0	0	98
1.993	1	3	200	4	1	1	453	0	0	98
1.994	1	3	200	5	1	1	453	0	0	98
1.995	1	3	200	6	1	1	453	0	0	98
1.996	1	3	200	7	1	1	453	0	0	98
1.997	1	3	200	8	1	5	1095	0	0	98
1.998	1	3	200	9	1	5	1095	0	0	98
2.012	1	2	202	3	3	25	7167	0	0	98
2.013	1	2	202	4	3	25	7167	0	0	98
2.014	1	2	202	5	3	25	7167	0	0	98
2.015	1	1	202	6	2	15	1692	0	0	47
2.015	1	2	202	6	3	25	3422	0	0	47
2.016	1	1	202	7	2	15	1692	0	0	47
2.016	1	2	202	7	3	25	3422	0	0	47
2.017	1	2	202	8	3	20	2385	0	0	48
2.017	1	1	202	8	2	15	1692	0	0	47
2.018	1	1	202	9	2	10	935	0	0	47
2.018	1	2	202	9	3	20	2385	0	0	48
2.019	1	1	202	10	2	10	935	0	0	47
2.019	1	2	202	10	3	20	2385	0	0	48
2.02	1	2	203	1	3	20	2385	0	0	48
2.02	1	1	203	1	2	10	935	0	0	47
2.021	1	1	203	2	2	10	935	0	0	47
2.021	1	2	203	2	3	20	2385	0	0	48
2.022	1	1	203	3	2	10	935	0	0	47
2.022	1	2	203	3	3	20	2385	0	0	48
